Imagem,Percentual,Classificador,Altura_imagem,Largura_imagem
1,0.6669312169312168,KNeighborsClassifier,681,1024
2,0.5871376811594203,BernoulliNB,681,1024
3,0.6172307692307691,LinearDiscriminantAnalysis,1024,768
4,0.6463768115942028,SVC,768,1024
5,0.6789473684210525,ExtraTreesClassifier,634,1024
6,0.6027667984189724,SVC,793,1024
7,0.6207692307692309,ExtraTreesClassifier,688,1024
8,0.6321428571428571,HistGradientBoostingClassifier,719,1024
9,0.5689655172413793,ExtraTreesClassifier,1024,1024
10,0.6864130434782609,KNeighborsClassifier,768,1024
11,0.6419950738916256,AdaBoostClassifier,692,1024
12,0.5980072463768116,KNeighborsClassifier,683,1024
13,0.5804347826086956,ComplementNB,681,1024
14,0.6311666666666667,SVC,860,1024
15,0.6358333333333334,SVC,684,1024
16,0.6347692307692308,QuadraticDiscriminantAnalysis,768,1024
17,0.6100000000000001,SVC,681,1024
18,0.6034632034632035,KNeighborsClassifier,676,1024
19,0.5701581027667983,LinearSVC,768,1024
20,0.6092592592592592,SVC,771,1024
21,0.6383333333333334,SVC,768,1024
22,0.6190476190476191,SVC,683,1024
23,0.6461538461538462,KNeighborsClassifier,683,1024
24,0.5866096866096866,SVC,1024,768
25,0.643157894736842,SVC,680,1024
26,0.6114285714285714,KNeighborsClassifier,683,1024
27,0.6028333333333333,Perceptron,683,1024
28,0.6347782258064516,DecisionTreeClassifier,768,1024
29,0.5498850574712644,NuSVC,768,1024
30,0.6126153846153846,HistGradientBoostingClassifier,1024,699
31,0.6155797101449275,KNeighborsClassifier,771,1024
32,0.6359999999999999,AdaBoostClassifier,1024,768
33,0.6465811965811966,KNeighborsClassifier,766,1024
34,0.5931159420289855,LinearDiscriminantAnalysis,1024,684
35,0.5928571428571429,NearestCentroid,683,1024
36,0.5753623188405796,RandomForestClassifier,1024,685
37,0.7067540322580645,NuSVC,1024,768
38,0.6215517241379309,ExtraTreesClassifier,794,1024
39,0.6165517241379309,AdaBoostClassifier,1024,768
40,0.568945868945869,HistGradientBoostingClassifier,718,1024
41,0.5366402116402116,NuSVC,683,1024
42,0.6531746031746032,SVC,768,1024
43,0.5859683794466404,CalibratedClassifierCV,768,1024
44,0.5635384615384614,BernoulliNB,768,1024
45,0.5912698412698413,BernoulliNB,768,1024
46,0.5974712643678161,QuadraticDiscriminantAnalysis,768,1024
47,0.6061538461538462,GaussianNB,1024,683
48,0.6319999999999999,BernoulliNB,1024,768
49,0.6332512315270936,DecisionTreeClassifier,768,1024
50,0.580295566502463,LogisticRegressionCV,768,1024
51,0.6472934472934473,ExtraTreesClassifier,768,1024
52,0.5987903225806452,KNeighborsClassifier,682,1024
53,0.6,BernoulliNB,705,1024
54,0.6071428571428571,GaussianProcessClassifier,768,1024
55,0.6306666666666667,AdaBoostClassifier,768,1024
56,0.566,ExtraTreeClassifier,682,1024
57,0.5903333333333334,AdaBoostClassifier,683,1024
58,0.6886153846153845,GradientBoostingClassifier,768,1024
59,0.6361111111111111,KNeighborsClassifier,1024,768
60,0.6516304347826087,KNeighborsClassifier,1024,988
61,0.5588333333333333,NearestCentroid,768,1024
62,0.6891737891737894,KNeighborsClassifier,1024,758
63,0.6521666666666668,SVC,768,1024
64,0.5771929824561404,NearestCentroid,1024,768
65,0.6195,AdaBoostClassifier,768,1024
66,0.6512987012987013,HistGradientBoostingClassifier,687,1024
67,0.607122507122507,RandomForestClassifier,768,1024
68,0.6491341991341991,BernoulliNB,683,1024
69,0.5721428571428572,ComplementNB,768,1024
70,0.6423809523809523,RandomForestClassifier,1024,768
71,0.6284615384615383,SVC,683,1024
72,0.6136699507389163,BernoulliNB,768,1024
73,0.6168091168091168,GradientBoostingClassifier,683,1024
74,0.5874458874458874,LabelPropagation,768,1024
75,0.641699604743083,BaggingClassifier,768,1024
76,0.6031666666666667,ExtraTreeClassifier,768,1024
77,0.633201581027668,KNeighborsClassifier,683,1024
78,0.675,HistGradientBoostingClassifier,769,1024
79,0.6883116883116882,AdaBoostClassifier,1024,768
80,0.6494565217391305,SVC,841,1024
81,0.5952380952380952,LogisticRegression,1024,682
82,0.6106617647058823,NearestCentroid,685,1024
83,0.6623809523809523,BaggingClassifier,1024,768
84,0.5947368421052632,HistGradientBoostingClassifier,683,1024
85,0.6018115942028986,BernoulliNB,683,1024
86,0.5859649122807017,SGDClassifier,672,1024
87,0.6230952380952381,SVC,683,1024
88,0.6400432900432901,QuadraticDiscriminantAnalysis,768,1024
89,0.6662055335968379,RandomForestClassifier,768,1024
90,0.6289230769230769,RandomForestClassifier,683,1024
91,0.5772727272727273,ExtraTreeClassifier,685,1024
92,0.6060526315789474,HistGradientBoostingClassifier,683,1024
93,0.6263157894736843,SVC,655,1024
94,0.5536842105263158,QuadraticDiscriminantAnalysis,681,1024
95,0.6652307692307693,GaussianNB,850,1024
96,0.69,KNeighborsClassifier,681,1024
97,0.7071428571428571,RandomForestClassifier,680,1024
98,0.7112499999999999,BernoulliNB,685,1024
99,0.6541666666666667,GradientBoostingClassifier,697,1024
100,0.6808333333333334,NuSVC,691,1024
101,0.7097402597402597,SVC,768,1024
102,0.6894736842105262,NuSVC,768,1024
