Email Crianca Dia Responsavel
jarriv@gmail.com Wilson 19/07/2023 Jarriv
Foto x y Larg_Imagem Alt_Imagem Larg_Tela Alt_Tela Dist_Larg Dist_Alt
42 940 617 1097 823 1920 968 411 89
42 1061 699 1097 823 1920 968 411 89
42 1163 770 1097 823 1920 968 411 89
42 1248 828 1097 823 1920 968 411 89
42 1317 876 1097 823 1920 968 411 89
42 1284 867 1097 823 1920 968 411 89
42 1251 856 1097 823 1920 968 411 89
57 845 505 1234 823 1920 968 343 89
57 866 463 1234 823 1920 968 343 89
57 887 430 1234 823 1920 968 343 89
57 854 413 1234 823 1920 968 343 89
57 881 392 1234 823 1920 968 343 89
57 711 496 1234 823 1920 968 343 89
57 583 549 1234 823 1920 968 343 89
246 1249 530 1093 823 1920 968 414 89
246 1259 557 1093 823 1920 968 414 89
246 1268 579 1093 823 1920 968 414 89
246 1221 585 1093 823 1920 968 414 89
246 1181 589 1093 823 1920 968 414 89
246 1161 537 1093 823 1920 968 414 89
246 1146 491 1093 823 1920 968 414 89
98 1190 707 1230 823 1920 968 345 89
98 1142 714 1230 823 1920 968 345 89
98 1098 719 1230 823 1920 968 345 89
98 1064 707 1230 823 1920 968 345 89
98 1034 697 1230 823 1920 968 345 89
98 963 590 1230 823 1920 968 345 89
98 903 498 1230 823 1920 968 345 89
277 1149 662 1097 823 1920 968 411 89
277 1135 662 1097 823 1920 968 411 89
277 1123 663 1097 823 1920 968 411 89
277 1113 663 1097 823 1920 968 411 89
277 1105 663 1097 823 1920 968 411 89
277 1057 651 1097 823 1920 968 411 89
277 1016 641 1097 823 1920 968 411 89
192 1020 533 1097 823 1920 968 411 89
192 1017 554 1097 823 1920 968 411 89
192 1014 572 1097 823 1920 968 411 89
192 1011 587 1097 823 1920 968 411 89
192 1009 600 1097 823 1920 968 411 89
192 1029 606 1097 823 1920 968 411 89
192 1046 611 1097 823 1920 968 411 89
115 771 377 1097 823 1920 968 411 89
115 736 368 1097 823 1920 968 411 89
115 712 369 1097 823 1920 968 411 89
115 694 371 1097 823 1920 968 411 89
115 667 380 1097 823 1920 968 411 89
115 708 395 1097 823 1920 968 411 89
115 745 409 1097 823 1920 968 411 89
21 1130 550 1097 823 1920 968 411 89
21 1109 548 1097 823 1920 968 411 89
21 1086 523 1097 823 1920 968 411 89
21 1073 524 1097 823 1920 968 411 89
21 1063 524 1097 823 1920 968 411 89
21 1066 469 1097 823 1920 968 411 89
21 1069 421 1097 823 1920 968 411 89
175 1029 616 636 823 1920 968 642 89
175 1009 602 636 823 1920 968 642 89
175 991 592 636 823 1920 968 642 89
175 976 584 636 823 1920 968 642 89
175 963 579 636 823 1920 968 642 89
175 1058 755 636 823 1920 968 642 89
175 1138 906 636 823 1920 968 642 89
157 739 582 617 823 1920 968 651 89
157 742 555 617 823 1920 968 651 89
157 745 535 617 823 1920 968 651 89
157 749 520 617 823 1920 968 651 89
157 754 510 617 823 1920 968 651 89
157 872 583 617 823 1920 968 651 89
157 973 647 617 823 1920 968 651 89
